timestamp,candidate_id,params_hash,split,sr_net,n_obs
2026-07-19T23:03:57+00:00,g2_gen2,107a63d657dd06c6,train_g2,-2.781469,8013
2026-07-19T23:04:00+00:00,g2_gen2,a1c69437d501695e,train_g2,-1.54406,12328
2026-07-19T23:04:01+00:00,g2_gen2,de900623bdca08bb,train_g2,-1.948402,12340
2026-07-19T23:04:03+00:00,g2_gen2,aab65094b77c3de3,train_g2,-1.950351,12309
2026-07-19T23:04:06+00:00,g2_gen2,fb457e24fa5fbc3c,train_g2,-0.187122,12324
2026-07-19T23:04:09+00:00,g2_gen2,09c5e5cbd84b0bbc,train_g2,-1.753189,12345
2026-07-19T23:04:11+00:00,g2_gen2,47e0da3151292430,train_g2,-5.902312,6175
2026-07-19T23:04:13+00:00,g2_gen2,a1c69437d501695e,train_g2,-0.27176,12328
2026-07-19T23:04:15+00:00,g2_gen2,b174d37c530662b5,train_g2,0.529769,12326
2026-07-19T23:04:17+00:00,g2_gen2,1e0555ad82e5a5f5,train_g2,0.382449,12354
2026-07-19T23:04:20+00:00,g2_gen2,2964fed14bc58155,train_g2,-1.741236,12332
2026-07-19T23:04:22+00:00,g2_gen2,a62e2cc4e96b462e,train_g2,-7.057456,12297
2026-07-19T23:04:24+00:00,g2_gen2,aab65094b77c3de3,train_g2,0.261906,12309
2026-07-19T23:04:28+00:00,g2_gen2,d2442bda04e503d3,train_g2,-6.325028,12267
2026-07-19T23:04:30+00:00,g2_gen2,cd6810ae31a4dd89,train_g2,-4.040908,4600
2026-07-19T23:04:32+00:00,g2_gen2,a1c69437d501695e,train_g2,-0.730883,12328
2026-07-19T23:04:34+00:00,g2_gen2,cc5704b4a5c43b9a,train_g2,-0.539222,12310
2026-07-19T23:04:36+00:00,g2_gen2,6a8da3750be04e30,train_g2,-2.838366,117
2026-07-19T23:04:39+00:00,g2_gen2,d2442bda04e503d3,train_g2,-0.666841,12267
2026-07-19T23:04:41+00:00,g2_gen2,a1c69437d501695e,train_g2,-0.54713,12328
2026-07-19T23:04:44+00:00,g2_gen2,c91a5d44fd85bd85,train_g2,-1.850297,12338
2026-07-19T23:04:46+00:00,g2_gen2,de06129c493f252f,train_g2,nan,0
2026-07-19T23:04:49+00:00,g2_gen2,fb457e24fa5fbc3c,train_g2,-0.165246,12324
2026-07-19T23:04:53+00:00,g2_gen2,a1857fb3469c5cee,train_g2,-7.841686,12296
2026-07-19T23:04:56+00:00,g2_gen2,6d13b18575d50c09,train_g2,-7.93226,12352
2026-07-19T23:04:58+00:00,g2_gen2,7eb0dae0094aab16,train_g2,-0.22119,11727
2026-07-19T23:05:02+00:00,g2_gen2,a0ab55930ea0377f,train_g2,-0.197662,12349
2026-07-19T23:05:04+00:00,g2_gen2,de06129c493f252f,train_g2,nan,0
2026-07-19T23:05:08+00:00,g2_gen2,700ac60726bf9f81,train_g2,-3.246783,12293
2026-07-19T23:05:11+00:00,g2_gen2,34f578f38b22af69,train_g2,-0.156518,12327
2026-07-19T23:05:13+00:00,g2_gen2,aab65094b77c3de3,train_g2,0.696549,12309
2026-07-19T23:05:17+00:00,g2_gen2,d2442bda04e503d3,train_g2,-0.430671,12267
2026-07-19T23:05:23+00:00,g2_gen2,1e0555ad82e5a5f5,train_g2,0.588467,12354
2026-07-19T23:05:28+00:00,g2_gen2,a1857fb3469c5cee,train_g2,-7.496029,12296
2026-07-19T23:05:33+00:00,g2_gen2,a1c69437d501695e,train_g2,0.588282,12328
2026-07-19T23:05:39+00:00,g2_gen2,c9d524719a1d3bb5,train_g2,-4.658474,10743
2026-07-19T23:05:46+00:00,g2_gen2,a1c69437d501695e,train_g2,-0.153667,12328
2026-07-19T23:05:49+00:00,g2_gen2,0889519814c01862,train_g2,-4.88496,12358
2026-07-19T23:05:52+00:00,g2_gen2,aab65094b77c3de3,train_g2,-0.889595,12309
2026-07-19T23:06:03+00:00,g2_gen2,61f26f5b7f131b85,train_g2,-0.824964,12266
